Organisation,Event Name,Day,Start Date,Last Date,Duration (Hours),Weekend/Weekday/Anyday,Location,Cause1,Cause2,Cause3,Skills1,Skills2,Skills3,Suitability1,Suitability2,Suitability3,Suitability4,Min Age,Openings,Corporate Friendly (>10 openings)
Metta Welfare Association,Volunteer Photographer for Metta Charity Golf Tournament 2018,Fri, 27 Jul 2018,Ad Hoc,10,Weekday,Seletar,Children & Youth,Disability,Elderly, Other Skills,,, Open to All,,,,22,2,NoCSR
Morning Star Community Services Ltd.,CareNights @ Sengkang,Wed, 3 Jan 2018 , 31 Aug 2018,2,Weekday,Bedok,Children & Youth,Community,Families, Coaching & Training, Other Skills,, Open to All,,,,17,13,CSR
Yishun Community Hospital,"Mobile Library in the wards (Every Wednesday, 9.30am-11.30am)",Wed, 15 Nov 2017 , 26 Dec 2018,2,Weekday,Yishun,Community,Education,Elderly, No Specific Skills Required,,, Open to All,,,,13,15,CSR
All Saints Home,Be an All Saints Home Volunteer!,Sat, 17 Nov 2018,Ad Hoc,2.5,Weekend,Yishun,Community,Elderly,Health, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,13,499,CSR
AMKFSC Community Services,Bringing Joy to our Seniors - Senior Activity Hub @ Punggol,Tue, 2 Jan 2018 , 30 Jun 2018,2,Weekday,Punggol,Community,Elderly,null, Arts & Music, Coaching & Training,, Open to All,,,,16,15,CSR
Economic Development Innovations Singapore Pte Ltd,"Early Learning Programme (Beyond Social Services, Bukit Merah)",Sat, 3 Mar 2018 , 24 Nov 2018,2,Weekend,Bukit Merah,Children & Youth,Education,null, No Specific Skills Required,,, First Timers, Open to All,,,18,12,CSR
SAGE Counselling Centre,Seniors Helpdesk Volunteering,Thu, 1 Mar 2018 , 31 Mar 2018,2,Weekday,Boon Lay,Elderly,null,null, No Specific Skills Required,,, First Timers, Seniors, Open to All,,18,10,CSR
New Hope Community Services,Tutoring,Thu, 1 Feb 2018 , 30 Nov 2018,3,Anyday,Yishun,Children & Youth,Community,Education,,,,,,,,13,2,NoCSR
Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,Mon, 8 Jan 2018 , 30 Nov 2018,2,Weekday,Choa Chu Kang,Elderly,null,null, No Specific Skills Required,,, Open to All,,,,13,5,NoCSR
YMCA of Singapore,Y Makan Fellowship,Sat, 17 Mar 2018,Ad Hoc,5.0,Weekend,Orchard,Community,Elderly,Social Service, No Specific Skills Required,,, First Timers, Open to All,,,13,9,NoCSR
Association for Early Childhood Educators (Singapore),Project Hand in Hand,Tue, 2 Jan 2018 , 30 Jun 2018,3,Weekday,Islandwide,Children & Youth,Community,Education, No Specific Skills Required,,, First Timers, Seniors, Open to All, Family Friendly,18,43,CSR
En Community Services Society,Thursday Morning Ukulele @ TNCC,Thu, 22 Mar 2018 , 22 Nov 2018,3,Weekday,Tampines,Arts & Heritage,Community,Education, Arts & Music, Coaching & Training, Human Resource, Open to All, Organisation or Groups,,,21,6,NoCSR
Singapore Red Cross Society,Elderaid befriender,Thu, 1 Mar 2018 , 31 Dec 2018,3,Anyday,Tampines,Community,Elderly,Humanitarian, NA,,, Seniors,,,,50,50,CSR
Heart To Heart Service,Food Distribution Services,Thu, 8 Feb 2018 , 31 Dec 2018,3,Weekday,Downtown Core,Community,Elderly,Families, Volunteer Management, No Specific Skills Required,, First Timers, Open to All,,,13,5,NoCSR
Thye Hua Kwan Nursing Home Limited,Regular Volunteers,Thu, 8 Feb 2018 , 28 Feb 2019,3,Anyday,Hougang,Community,Disability,Elderly, Volunteer Management,,, Open to All,,,,13,49,CSR
Presbyterian Community Services,Community Befriending Programme,Tue, 2 Jan 2018 , 31 Jul 2018,3,Anyday,Geylang,Community,Elderly,Social Service, Arts & Music, Counselling & Mentoring, Medical & Health, First Timers, Seniors, Open to All, Family Friendly,48,5,NoCSR
SingYouth Hub,Transporter needed for charity event_ad-hoc basis,Fri, 2 Mar 2018 , 31 Dec 2018,3,Anyday,Yishun,Children & Youth,Community,Education, No Specific Skills Required,,, Seniors,,,,30,2,NoCSR
Singapore Anglican Community Services,Language Classes,Mon, 1 Jan 2018 , 31 Dec 2018,3,Weekday,Bukit Batok,Arts & Heritage,Community,Education, NA,,, Open to All,,,,13,2,NoCSR
The National Kidney Foundation,Fundraising @ Tian Jun Temple,Wed, 14 Mar 2018,Ad Hoc,2.5,Weekday,Punggol,Community,Disability,Elderly, No Specific Skills Required,,, Open to All,,,,18,5,NoCSR
Care Community Services Society,Sembawang d'Klub Mentoring Programme (P3-P6),Thu, 25 Jan 2018 , 26 Jan 2019,2,Weekday,Sembawang,Children & Youth,Community,Education, No Specific Skills Required,,, Open to All,,,,18,10,CSR
Singapore Red Cross Society,SRC South East District ElderAid Programme,Mon, 1 Jan 2018 , 31 Jul 2018,3,Anyday,Bedok,Community,Disability,Elderly, No Specific Skills Required,,, First Timers, Seniors, Open to All,,18,20,CSR
Lions Befrienders Service Association,Befriend a Senior,Mon, 1 Jan 2018 , 31 Dec 2018,3,Anyday,Bukit Merah,Community,Elderly,Social Service, No Specific Skills Required,,, Open to All, Family Friendly,,,18,40,CSR
The Salvation Army,Prison Support Services Group Sessions,Sat, 25 Aug 2018,Ad Hoc,4.0,Weekend,Tanglin,Children & Youth,null,null, Other Skills,,, Open to All,,,,21,60,CSR
Calvary Community Care,Volunteer Administrator (Seniors),Fri, 9 Mar 2018 , 6 Jul 2018,3,Weekday,Serangoon,Community,Elderly,null, NA,,, First Timers, Seniors, Open to All, Family Friendly,13,3,NoCSR
Me Too! Club (MINDS),Physical Activities with Me Too! Club (Every Tuesday),Tue, 06 Mar 2018,Ad Hoc,3.5,Weekday,Geylang,Community,Disability,Families, NA,,, First Timers, Open to All,,,13,20,CSR
YMCA of Singapore,Y Outing @ Blue Cross,Sat, 03 Mar 2018,Ad Hoc,6.0,Weekend,Jurong East,Disability,null,null, No Specific Skills Required,,, First Timers, Open to All,,,17,10,CSR
