web-scraper-order,web-scraper-start-url,EventID,EventID-href,Organisation,Event Name,DayDate,Duration,Location,Cause1,Cause2,Cause3,Skills,Suitability,Min Age
1517464078-141,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600270,AWWA Ltd,Lunch Assistant for Seniors,"Thu, 11 Jan 2018 to Sat, 31 Mar 2018",Few hours a week on weekday,"Ang Mo Kio
                  
                    123 ANG MO KIO AVENUE 6 

                    Singapore 560123",Elderly,Health,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517463394-5,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6598233,St Luke's Hospital,Volunteering Opportunities,"Tue, 16 Jan 2018 to Fri, 21 Dec 2018",Flexible on weekday,"Bukit Batok
                  
                    2 BUKIT BATOK STREET 11 

                    Singapore 659674",Community,Disability,Elderly,"Skills required: Volunteer Management, Other Skills",Suitable for: Open to All,Min. age: 18
1517464485-222,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6659962,South Central Community Family Service Centre Limited,Adhoc Volunteering - Chinese New Year Celebration Event,"Sat, 24 Feb 2018",1:00 PM TO 7:00 PM (6.0 hours),"River Valley
                  
                    5 DELTA AVENUE 

                    Singapore 160005",Children & Youth,Community,Elderly,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 16
1517464586-242,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6654336,Shan You,A Good Day Out by Tote Board,"Sat, 10 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 10 Feb 2018 2:30 PM",9:30 AM TO 3:00 PM (5.5 hours),"Downtown Core
                  
                    18 MARINA GARDENS DRIVE 

                    Singapore 018953",Community,Elderly,Social Service,Skills required: Other Skills,"Suitable for: Seniors, Open to All",Min. age: 16
1517464180-161,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6350925,Students Care Service,Engage children and youths at SCS!,"Tue, 2 Jan 2018 to Mon, 31 Dec 2018",Flexible on weekday or weekend,"Hougang
                  
                    463 HOUGANG AVENUE 10 

                    Singapore 530463",Children & Youth,Education,Families,null,null,null
1517464410-207,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6599857,Singapore Red Cross Society,Grateful Hearts Day 2018,"Sun, 04 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sun, 04 Mar 2018 12:00 PM 
	                               	
	               		 
	                	Sun, 04 Mar 2018 2:00 PM 
	                               	
	               		 
	                	Sun, 04 Mar 2018 4:00 PM 
	                               	
	               		 
	                	Sun, 04 Mar 2018 6:00 PM",10:00 AM TO 1:00 PM (3.0 hours),"Orchard
                  
                    15 PENANG LANE 

                    Singapore 238486",Community,Disability,Elderly,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 15
1517464591-243,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6303387,Bright Vision Hospital,Mobility Program,"Sat, 10 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 24 Feb 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 03 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 10 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 24 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 31 Mar 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 07 Apr 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 14 Apr 2018 9:00 AM 
	                               	
	               		 
	                	Sat, 28 Apr 2018 9:00 AM",9:00 AM TO 11:30 AM (2.5 hours),"Hougang
                  
                    5, LORONG NAPIRI, BRIGHT VISION HOSPITALLEVEL 1 YEN PEI HALL 

                    Singapore 547530",Community,Elderly,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464305-186,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6255323,All Saints Home,Be an All Saints Home Volunteer!,"Sat, 17 Nov 2018",2:00 PM TO 4:30 PM (2.5 hours),"Yishun
                  
                    551 YISHUN RING ROAD 

                    Singapore 768681",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All, Family Friendly",null
1517464601-245,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6417592,Ang Mo Kio - Thye Hua Kwan Hospital,Seated TaiChi,"Fri, 09 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Fri, 23 Feb 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 02 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 09 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 16 Mar 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 06 Apr 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 13 Apr 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 20 Apr 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 27 Apr 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 04 May 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 11 May 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 18 May 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 25 May 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 01 Jun 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 08 Jun 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 22 Jun 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 29 Jun 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 06 Jul 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 13 Jul 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 20 Jul 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 27 Jul 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 03 Aug 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 10 Aug 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 17 Aug 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 24 Aug 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 31 Aug 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 07 Sep 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 14 Sep 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 21 Sep 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 28 Sep 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 05 Oct 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 12 Oct 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 19 Oct 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 26 Oct 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 02 Nov 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 09 Nov 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 16 Nov 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 23 Nov 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 30 Nov 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 07 Dec 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 14 Dec 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 21 Dec 2018 3:00 PM 
	                               	
	               		 
	                	Fri, 28 Dec 2018 3:00 PM",3:00 PM TO 5:00 PM (2.0 hours),"Ang Mo Kio
                  
                    17, ANG MO KIO AVENUE 9, ANG MO KIO-THYE HUA KWAN HOSPITAL, WARD 3 PATIENT HUB, LEVEL 4 

                    Singapore 569766",Elderly,Social Service,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 15
1517463375-1,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6646755,Yishun Community Hospital,Rooftop Gardening (At least 6 months) (8.30am-11am),"Tue, 30 Jan 2018 to Thu, 31 Jan 2019",2 to 3 days per week on weekday,"Yishun
                  
                    2, YISHUN CENTRAL 2 

                    Singapore 768024",Community,Environment,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 17
